stationame,1,2,3,4,5,6,7,8,9,10,11,12
Kedzie-Cermak,24628,23489,27119,25840,28485,27633,27596,0,0,0,0,0
Kedzie-Homan-Forest Park,50411,47338,53108,51595,58066,53647,52903,0,0,0,0,0
Kedzie-Lake,38490,35513,39243,39023,44603,40456,38041,0,0,0,0,0
Kedzie-Midway,79167,75997,86435,83960,89884,86544,0,0,0,0,0,0
Kimball,96656,92203,103731,101396,105268,101954,0,0,0,0,0,0
King Drive,12815,12300,13093,13001,15487,15081,14303,0,0,0,0,0
Kostner,11620,10650,11958,11810,13251,12906,13235,0,0,0,0,0
Lake/State,489912,462991,539570,518687,548748,573521,583522,0,0,0,0,0
Laramie,27721,26779,29185,28813,32020,31043,30940,0,0,0,0,0
LaSalle,67539,69488,78315,76781,75991,71782,70219,0,0,0,0,0
LaSalle/Van Buren,71096,65738,72857,68563,71254,71112,0,0,0,0,0,0
Lawrence,83400,80904,88894,83761,87146,84331,85909,0,0,0,0,0
Library,83716,82473,92423,90207,93924,89765,0,0,0,0,0,0
Linden,19808,18919,21765,22271,28490,29807,33597,0,0,0,0,0
Logan Square,178391,168737,193843,183443,189983,190274,189361,0,0,0,0,0
Loyola,125685,135383,145987,141764,127464,126227,127876,0,0,0,0,0
Madison/Wabash,0,0,0,0,0,0,0,0,0,0,0,0
Main,29399,28381,31380,29885,31270,32922,31808,0,0,0,0,0
Medical Center,49296,47635,52675,50313,49007,45658,44390,0,0,0,0,0
Merchandise Mart,192856,177737,203847,193919,199299,202133,0,0,0,0,0,0
Midway Airport,193992,182193,217887,213120,233610,229660,0,0,0,0,0,0
Monroe/Dearborn,189619,177547,202780,195510,204191,199120,197925,0,0,0,0,0
Monroe/State,246478,232557,264214,254607,267361,268512,270857,0,0,0,0,0
Montrose-Brown,69286,65042,73029,69353,72919,71531,0,0,0,0,0,0
Montrose-O'Hare,62586,59060,67242,64799,67880,66036,66121,0,0,0,0,0
Morgan-Lake,71061,69546,85753,78784,88642,97461,95160,0,0,0,0,0
Morse,116644,112558,125190,118824,126071,127316,124194,0,0,0,0,0
North/Clybourn,150118,142386,159258,152868,164203,159983,157669,0,0,0,0,0
Noyes,23984,23581,24131,24754,25262,23986,23458,0,0,0,0,0
O'Hare Airport,252115,254362,311397,314187,361608,359529,377178,0,0,0,0,0
Oak Park-Forest Park,41148,38361,43483,43531,45950,44828,45173,0,0,0,0,0
Oak Park-Lake,36403,33568,39856,38480,41613,41863,41896,0,0,0,0,0
Oakton-Skokie,22012,21907,24419,23789,24048,23386,24901,0,0,0,0,0
Paulina,68316,64551,72999,68709,73791,74491,0,0,0,0,0,0
Polk,71342,70987,76830,74386,74871,75348,75665,0,0,0,0,0
Pulaski-Cermak,25350,24222,26846,26334,29004,27700,28864,0,0,0,0,0
Pulaski-Forest Park,42093,40941,46833,42823,47198,45860,46129,0,0,0,0,0
Pulaski-Lake,32537,31237,35516,35442,39261,37908,38226,0,0,0,0,0
Pulaski-Orange,113812,110715,126375,123095,134913,126006,0,0,0,0,0,0
Quincy/Wells,180738,161890,186353,179467,190410,186307,0,0,0,0,0,0
Racine,54443,53839,58425,58403,64633,59872,47970,0,0,0,0,0
Randolph/Wabash,0,0,136,0,189,0,0,0,0,0,0,0
Ridgeland,31763,29510,33895,32611,35597,35782,35477,0,0,0,0,0
Rockwell,45514,42702,47219,45472,48857,48009,0,0,0,0,0,0
Roosevelt,258148,253276,292374,279769,300007,312468,318333,0,0,0,0,0
Rosemont,143404,138756,166657,163152,181002,185819,191128,0,0,0,0,0
Sedgwick,89715,83948,97719,92340,103689,107546,0,0,0,0,0,0
Sheridan,125375,118804,133718,128089,138233,139454,131503,0,0,0,0,0
South Boulevard,18530,17948,20099,19378,20073,20611,20535,0,0,0,0,0
Southport,91274,84097,95607,91487,98385,97630,0,0,0,0,0,0
Sox-35th-Dan Ryan,97240,94049,105990,121668,132445,143895,133195,0,0,0,0,0
State/Lake,267004,261659,311266,300024,317500,327193,0,0,0,0,0,0
Thorndale,78018,76168,84400,81350,85844,81162,75722,0,0,0,0,0
UIC-Halsted,127010,154883,152779,161699,111593,88404,91857,0,0,0,0,0
Washington/Dearborn,300772,282264,333086,314872,337697,348741,350474,0,0,0,0,0
Washington/Wabash,225310,214213,256022,239875,271142,280859,0,0,0,0,0,0
Washington/Wells,183277,166373,187095,179269,188032,184101,0,0,0,0,0,0
Wellington,75535,70033,78920,74136,77320,77893,0,0,0,0,0,0
Western-Brown,100828,95686,107950,103852,110418,110292,0,0,0,0,0,0
Western-Cermak,27119,26938,30344,28958,30498,29810,29902,0,0,0,0,0
Western-Forest Park,37407,36786,40539,40684,44258,40958,39643,0,0,0,0,0
Western-Orange,84828,81563,93640,92023,99282,93907,0,0,0,0,0,0
Western/Milwaukee,127740,121070,138138,132854,140844,140290,137319,0,0,0,0,0
Wilson,157204,156353,172150,169157,171872,171963,168198,0,0,0,0,0
