stationame,1,2,3,4,5,6,7,8,9,10,11,12
18th,47085,47687,55931,55871,56885,55444,57032,54435,59917,62697,54028,49585
35-Bronzeville-IIT,50498,48235,56524,56650,53901,55671,58436,56667,63203,66603,54643,45153
35th/Archer,70724,68041,81146,80490,81240,84193,87497,83949,90541,94119,81983,79175
43rd,25034,23378,27802,28122,29182,30991,33242,32592,31778,33748,29574,28842
47th-Dan Ryan,82257,75432,90736,89883,94329,93706,97163,93622,96044,101988,88552,88329
47th-South Elevated,30718,30284,35545,35953,36446,37866,41207,40777,39712,41695,36338,36263
51st,25178,24282,29557,30313,31134,31940,33798,32482,32884,33899,28474,28848
54th/Cermak,52284,49342,59152,60244,59908,64139,67887,63769,65723,66726,59271,58120
63rd-Dan Ryan,88930,75786,88023,84564,85861,83137,84845,85321,93610,97969,83921,83063
69th,143029,130589,155146,151025,158489,157767,165695,158514,163691,176152,156143,154216
79th,190847,176634,207094,204192,212971,213886,223282,215254,222504,231365,203493,206349
87th,116141,107743,127366,125393,132286,133141,137606,127315,129406,136546,121025,122488
95th/Dan Ryan,285467,263788,312576,302029,307920,311468,319026,307980,327414,340191,299253,299103
Adams/Wabash,156998,158538,214346,249192,240854,256654,287580,245891,254127,280598,233677,209799
Addison-Brown,58640,57331,64998,60882,61765,63260,59920,57360,64380,70134,59252,58124
Addison-North Main,173219,160947,202241,252473,295551,306394,343711,333725,343344,278370,183665,161138
Addison-O'Hare,68046,66025,78640,78100,82383,83885,85297,81410,87295,88658,75797,74220
Argyle,84382,79766,89322,90221,91956,94760,96942,92760,91936,97007,85550,84018
Armitage,106902,104940,113839,100431,95328,108800,98605,89997,97766,122028,103362,100740
Ashland-Lake,57499,56322,67588,66158,67593,71027,87105,66327,75684,72257,63212,60225
Ashland-Orange,37337,35553,43443,42395,42869,44968,45432,43659,48572,49222,42798,41970
Ashland/63rd,33479,30989,37166,36393,37911,38776,40505,38297,38299,39944,35840,35192
Austin-Forest Park,47270,45239,54124,53119,53021,54362,56216,54292,57067,60205,51320,48737
Austin-Lake,48075,45845,53348,53170,54068,56242,58724,55887,55847,58064,51469,52069
Belmont-North Main,333745,316006,368575,359020,372929,401544,379720,376013,377039,409118,340036,319611
Belmont-O'Hare,136454,132679,150622,148741,147469,151848,156478,150049,154882,161402,144438,142501
Berwyn,92722,88323,98145,97627,97262,102715,103555,100852,102989,108893,92775,92433
Bryn Mawr,123654,118044,133499,130993,132770,142328,144980,139486,138938,147248,127932,125966
California-Cermak,36387,34805,40988,40403,40983,42202,43517,43029,70165,47102,41073,39735
California-Lake,27268,25348,29925,30834,30861,31897,34620,34882,33771,32660,27548,27742
California/Milwaukee,118546,115639,131772,129618,129854,137971,145262,139928,143511,150836,131596,130266
Central Park,32354,30466,35897,35578,34940,36124,37121,35879,38634,39824,34868,33985
Central-Evanston,19533,18818,20219,19562,18952,22418,23472,22589,25892,27509,22323,19230
Central-Lake,56420,53096,63284,62667,65123,65739,66519,63196,65342,67980,60667,60911
Cermak-Chinatown,109500,102624,127642,124148,134047,130473,144368,137822,140736,153844,127860,114753
Cermak-McCormick Place,0,18718,27922,31403,36808,36502,43932,36912,39633,50854,37078,31027
Chicago/Franklin,171699,171830,178813,165242,144451,170092,169761,155536,158579,187840,162688,156501
Chicago/Milwaukee,105537,103964,116297,112845,114888,117824,117748,111696,117312,124518,106741,105294
Chicago/State,363295,335286,418226,423372,433176,453442,502911,488020,474999,499461,442441,427909
Cicero-Cermak,33260,31501,36032,36889,37981,40138,42228,40282,40132,42006,36772,37848
Cicero-Forest Park,36628,33395,38857,39627,40464,41036,41574,40987,44054,46176,40261,39881
Cicero-Lake,40513,37209,41947,41754,42538,42933,43514,41110,42226,44105,39305,39400
Clark/Division,179784,168211,205728,203059,218769,227613,237079,232987,228601,232012,220990,212125
Clark/Lake,430675,409229,499245,497437,494058,542188,561606,533193,529439,560017,474828,465154
Clinton-Forest Park,88666,86739,99982,95617,94815,100465,103860,100911,102428,109702,96066,94770
Clinton-Lake,90661,88366,99143,100933,99184,109641,110373,105285,106957,113451,97536,93740
Conservatory,23110,21140,26494,27205,29819,28391,30751,28538,29835,31356,25773,25428
Cumberland,98502,94487,113911,116437,123447,134821,145242,132644,132615,134913,113149,111247
Damen-Brown,63372,62642,70736,68019,68193,71182,71594,68291,73452,79225,69822,69251
Damen-Cermak,37067,37035,42905,41602,41053,40587,41987,41091,46576,47105,41108,39018
Damen/Milwaukee,148672,146707,179928,178751,185755,200548,219039,204132,201108,211327,180468,176630
Davis,97771,92830,103247,104626,106446,110917,114944,106930,106599,114307,96856,91688
Dempster,23041,21924,24436,24126,25597,26847,27861,26257,26404,27215,23786,21923
Dempster-Skokie,48481,45380,53240,56273,32406,549,0,0,0,2085,42242,42863
Diversey,137380,130029,145945,141401,140256,156913,151287,145287,145060,161577,137644,132416
Division/Milwaukee,156904,152981,174637,166024,166667,169928,172863,165094,173085,182159,156645,154512
East 63rd-Cottage Grove,30006,28732,33359,34754,35376,36634,39480,36756,36398,37099,33697,33052
Forest Park,83992,78033,94813,96013,95074,100236,105562,99298,101129,103973,89209,88020
Foster,21155,20798,21678,24209,24635,25184,27018,23340,24022,28896,23962,17898
Francisco,36997,35166,40543,39583,40598,42157,42816,40912,41939,41730,37544,38297
Fullerton,350796,327889,357222,388558,396722,344503,317706,297652,415022,448957,351055,237648
Garfield-Dan Ryan,93449,85388,101231,102763,107352,108741,114102,107570,110732,118485,103495,99505
Garfield-South Elevated,32174,30656,37234,37938,39816,41437,46763,44535,43279,45025,38308,36455
Grand/Milwaukee,63994,61474,70862,70983,74159,78589,86381,80584,76846,81245,70100,68614
Grand/State,292102,259376,338432,343168,379797,399831,458589,431714,390410,397535,335547,323129
Granville,110781,109467,121272,121393,108905,110488,116785,116338,129516,139588,116167,104676
Halsted-Orange,64390,65617,76154,75748,68423,69889,71053,69389,79843,86838,74161,66985
Halsted/63rd,19236,17607,20202,20035,19478,20022,21628,21254,23831,25158,20723,18939
Harlem-Forest Park,28069,26430,32178,31670,33170,34437,35756,34748,34016,34724,30233,30950
Harlem-Lake,92361,88544,105107,104885,105606,111560,117721,113260,111219,114583,101265,100250
Harlem-O'Hare,69895,66584,80764,78264,79872,84935,83352,80674,84720,89013,77428,75790
Harrison,97456,107766,125284,132600,129904,117561,133036,111334,144293,159615,129163,109350
Howard,157524,147405,169775,166882,184809,211828,216337,208851,210504,216262,161435,157698
Indiana,21525,20180,23446,23563,25532,25734,27981,26404,26624,28582,24273,23290
Irving Park-Brown,75956,74192,83303,78670,79987,87843,83165,79181,81105,86415,77137,75685
Irving Park-O'Hare,107934,103183,121038,118861,119677,125534,128297,125470,125904,130680,115765,116226
