stationame,1,2,3,4,5,6,7,8,9,10,11,12
Jackson/Dearborn,178176,174652,204129,206182,199813,205549,220079,202701,214158,233401,193179,169742
Jackson/State,265009,249912,284886,306544,297184,281020,293000,268742,320656,342859,269751,210407
Jarvis,44977,42601,47849,48276,48927,50374,51204,49944,52027,52907,45983,46376
Jefferson Park,163242,153511,180625,178902,179346,189871,195886,189570,192448,197344,176413,176010
Kedzie-Brown,51045,49339,55843,53679,54466,54947,55306,53598,56345,56545,52137,52321
Kedzie-Cermak,27597,26062,30524,31360,32200,32574,33570,32532,37652,35071,30209,29777
Kedzie-Homan-Forest Park,60185,55811,67183,66358,69502,69891,71067,67451,70113,69066,58953,61668
Kedzie-Lake,39202,36597,43884,42520,45132,43438,40320,40154,47144,52736,45229,44096
Kedzie-Midway,77595,74318,88728,88681,81522,73910,74896,72213,77101,80413,71307,73064
Kimball,103528,99930,112615,109864,107763,109344,109446,107590,115902,118356,105630,104837
King Drive,14693,14001,16555,16600,17747,18646,20024,19232,19459,19468,17592,17167
Kostner,12848,12400,15132,14899,14914,15086,15158,14651,15644,16039,13880,13669
Lake/State,489045,446250,556705,572031,589426,626407,670496,633465,648879,646403,562288,569977
Laramie,35206,32787,38695,37632,38939,39187,40053,38696,40389,41777,36346,36337
LaSalle,67232,72984,81211,81739,75470,75187,79513,73627,85455,94426,79575,71363
LaSalle/Van Buren,63736,62124,68336,64357,58954,69088,68003,62278,64608,69249,61676,61946
Lawrence,89349,84959,94285,94559,96983,95306,103605,93880,98682,106165,92990,89001
Library,89324,93882,104459,105934,99374,103849,109120,99001,112082,119908,99191,83124
Linden,19403,17719,21198,22214,28954,32045,38176,35771,31860,29876,22484,21598
Logan Square,179723,176199,197300,193825,191504,197445,205877,194574,198958,210208,185758,183848
Loyola,142727,142672,158598,155652,137138,140719,146422,152393,179386,182581,153950,129141
Madison/Wabash,157323,152175,84823,0,0,0,0,0,0,0,0,117
Main,31590,29938,34083,33052,32843,35400,36097,33637,34545,36693,31002,30047
Medical Center,81011,78195,92108,87288,79246,83853,80730,80512,97369,101511,86903,77880
Merchandise Mart,169987,172123,189282,171689,154050,189131,177291,165689,169245,197917,169589,165458
Midway Airport,194676,182626,229458,232541,238449,256606,271339,254130,266708,269914,228873,220537
Monroe/Dearborn,163471,161191,189915,188847,181741,200281,206289,190009,194337,209927,179799,174991
Monroe/State,243091,233152,289234,294396,288473,311289,329285,306555,310909,329217,276482,275201
Montrose-Brown,67718,66967,74125,70966,71224,73684,74569,70994,73629,79695,69838,68887
Montrose-O'Hare,59229,56201,66708,66233,63828,68437,69260,65327,71145,74016,63292,60971
Morgan-Lake,54063,54453,62994,62123,65516,74847,76616,72742,72271,76097,67812,66577
Morse,129116,124130,139566,136211,136874,139550,142419,140252,144193,148116,129336,126475
North/Clybourn,155928,141162,174147,176596,185136,182396,187821,187522,194473,205745,181521,173904
Noyes,21063,20709,21107,22332,22268,21774,21898,18847,20996,26275,22809,17257
O'Hare Airport,259969,238142,300834,314500,359968,357099,394245,386795,381154,398159,346148,316691
Oak Park-Forest Park,41562,39439,46937,46532,44595,49559,50399,48424,49650,50355,43602,42470
Oak Park-Lake,36312,34593,41566,42200,43041,45979,48580,45640,43876,45663,38972,38430
Oakton-Skokie,22837,21967,25281,25906,14481,1038,0,0,0,992,18778,18603
Paulina,67569,65410,73551,70246,71503,76212,78034,73723,73263,78358,67814,66384
Polk,74639,76300,83745,84272,76997,84198,87694,83914,91662,95357,81726,73468
Pulaski-Cermak,31503,30077,34884,34417,34190,34647,35994,35288,36075,37618,33315,33578
Pulaski-Forest Park,47172,42835,50127,50266,52882,54756,56973,53449,54858,59919,55963,55517
Pulaski-Lake,44444,39893,47254,47131,48768,49622,50323,48543,50265,51234,44670,43872
Pulaski-Orange,116012,112610,135673,130966,131092,137635,140339,131527,147428,153246,130694,125592
Quincy/Wells,174705,167757,191530,183205,172388,196798,197418,185173,185776,201063,172264,165020
Racine,59079,57431,67712,61011,66647,61683,54091,54422,66840,72759,58218,53727
Randolph/Wabash,167681,162204,233689,255960,250421,281877,305965,273882,260770,277368,251468,255107
Ridgeland,29345,28310,33168,32567,31934,34128,36140,33951,35549,36627,31533,30147
Rockwell,44269,43132,48776,47203,46405,48869,49485,48044,48462,49996,44378,45530
Roosevelt,272865,263400,300694,303628,312505,345471,396284,329627,342650,350964,304700,293229
Rosemont,140496,133584,162063,167128,183629,193841,214792,201538,190605,194602,163488,160887
Sedgwick,94448,91619,100602,89129,82768,109286,104926,94853,85984,112161,93821,92067
Sheridan,140700,134670,153134,151473,154521,165734,160613,156296,165070,175048,150242,139175
South Boulevard,20196,18948,21468,21647,21210,23122,23732,21872,21666,22560,19411,18786
Southport,82887,79524,88743,85009,84061,89882,92906,88805,92517,96967,80899,80520
Sox-35th-Dan Ryan,113733,107193,129029,148244,155626,154259,175015,175988,157870,154986,125216,115571
State/Lake,224862,236221,263163,267694,259768,286456,313698,297821,314867,315981,268155,247108
Thorndale,80534,76957,86916,81809,87221,86271,83073,82195,89534,96366,82274,80717
UIC-Halsted,129237,148153,147237,159544,96550,92872,97767,120496,196646,210598,173267,104443
Washington/Dearborn,257556,249049,299225,292025,296065,323356,340362,314693,313378,329559,299714,318676
Washington/Wells,164069,158641,181116,180143,168765,195815,192464,179651,182640,199098,171016,168304
Wellington,72402,69842,77887,75309,74086,82198,77895,74332,77391,83867,73079,70285
Western-Brown,102868,100865,113930,111222,113691,114963,118328,111243,114681,124656,104584,104263
Western-Cermak,30520,30052,34277,33136,33307,34194,35322,33790,37116,37185,32539,31263
Western-Forest Park,41329,39288,45956,45481,47374,46924,45842,44894,52839,54543,46741,44534
Western-Orange,89535,85467,102082,101707,106931,122238,124727,119281,126447,132354,116020,108206
Western/Milwaukee,133188,128885,145326,139974,138462,145674,147750,142922,145714,154237,134470,132579
Wilson,156435,150847,167416,160118,151217,170471,161428,158128,177802,185557,156945,143572
