stationame,1,2,3,4,5,6,7,8,9,10,11,12
18th,43545,44012,49918,47984,51968,54815,49672,50610,52100,54559,47590,41491
35-Bronzeville-IIT,41734,42972,45725,44256,41680,41701,40078,49505,54569,56328,48257,35603
35th/Archer,70638,73442,83818,76057,82899,81646,77983,83948,86364,88874,80665,69860
43rd,23998,23378,25852,24494,27021,28392,27975,29815,28105,29156,25764,24280
47th-Dan Ryan,74650,72555,82190,76694,85109,85830,72155,64510,61712,83468,77945,72682
47th-South Elevated,28194,28201,31221,29294,31871,33021,32478,34024,32697,33464,30940,28513
51st,22904,22720,25382,23231,25231,25721,25877,28586,27610,28589,25305,23203
54th/Cermak,50832,50115,55896,53320,58186,61094,58762,62818,59916,60462,55634,50229
63rd-Dan Ryan,77537,77882,84404,76543,85779,83017,79775,83425,87053,87875,80951,75113
69th,133445,130232,139577,128860,142966,142850,140833,146511,144708,149748,136751,128837
79th,177679,172020,187752,173731,190900,190728,187542,191966,189039,196076,182331,173351
87th,105298,103166,111798,103932,112575,113721,112594,115280,113162,117315,108376,103334
95th/Dan Ryan,260145,255629,283880,256400,283694,279307,269360,281937,283708,292874,267344,246868
Adams/Wabash,209619,208444,224700,225361,237663,230948,242408,245973,199306,216508,186964,145385
Addison-Brown,61361,58836,68107,59313,67003,65789,56292,61252,64063,68060,60096,53156
Addison-North Main,163552,157805,185950,255774,305940,335215,330552,373291,301376,250758,164406,147273
Addison-O'Hare,66584,65029,75458,70816,79931,80100,73866,78726,78794,81236,72846,63954
Argyle,81868,77486,87560,82551,85500,86763,85736,89334,86852,90510,81583,75324
Armitage,104189,100280,116142,103424,117770,117674,101630,110029,115647,123516,107717,95151
Ashland-Lake,55439,54353,63131,57932,63179,62281,70346,63150,70437,67067,59596,52876
Ashland-Orange,37315,36767,43731,40191,44206,44677,41446,44544,43725,46730,41317,37317
Ashland/63rd,27353,27085,29710,28257,31451,31684,31641,33238,33511,33952,31001,27948
Austin-Forest Park,48063,47089,51896,48389,51013,51494,48220,53347,53600,54481,49231,42507
Austin-Lake,45804,45060,49639,47644,51729,53583,51100,53766,51087,52457,47447,43702
Belmont-North Main,316250,301470,342760,328117,348907,374895,338792,359746,341277,370376,312207,275590
Belmont-O'Hare,138122,132607,150004,138778,148248,149534,142557,152680,147498,153576,144908,131331
Berwyn,88796,85345,94273,87712,91764,96843,90915,95112,93693,99962,89188,80538
Bryn Mawr,119519,114586,127671,120433,128934,133024,128559,134023,133103,135208,123130,111423
California-Cermak,34797,33314,37401,34734,37886,37365,36202,38521,48599,38733,35053,31892
California-Lake,24196,23759,27089,25767,27218,26572,25362,27606,26865,27642,25948,23105
California/Milwaukee,141838,136860,147054,135388,145953,150041,142965,154337,152526,153680,140407,126594
Central Park,27836,27686,29865,27124,30529,31321,31224,32197,32370,33149,30431,27678
Central-Evanston,18969,17828,20067,18332,20061,22857,21393,23206,22145,29877,20279,16380
Central-Lake,50465,50286,53950,49542,53447,54141,52927,52848,51814,54772,50127,47927
Cermak-Chinatown,104997,110411,123194,124275,130166,134447,140057,137975,140685,144269,119110,100021
Cermak-McCormick Place,30873,34979,34577,40963,38932,44372,39590,39946,43782,55850,41508,31015
Chicago/Franklin,155841,147093,168743,157523,165961,173476,163756,181887,168869,186242,167980,143375
Chicago/Milwaukee,100397,95417,112170,100462,111983,113730,102820,111614,108854,113886,104031,92410
Chicago/State,369906,358820,406769,395486,405370,441035,438641,454621,430248,440613,397979,362607
Cicero-Cermak,30492,30583,33324,31716,34120,35709,35425,36082,35290,35417,32620,29844
Cicero-Forest Park,39840,34612,36334,34950,39649,39676,36569,38115,37115,37312,35280,32661
Cicero-Lake,32051,31992,34255,32571,36608,36172,34225,35836,35433,36307,33742,31310
Clark/Division,204603,194942,223492,209152,225999,237004,223180,237642,231088,242126,207594,193472
Clark/Lake,462841,440612,521817,474517,524337,551787,510470,564474,507451,548682,489570,425975
Clinton-Forest Park,91950,85086,100028,89844,96619,95587,89179,99651,92516,100291,92125,80084
Clinton-Lake,94283,90049,103277,94267,100353,104186,97976,109528,101633,112548,100919,86792
Conservatory,21299,21818,24755,22768,25764,24181,24398,25147,25527,25399,22523,20515
Cumberland,102667,98550,115811,110300,122378,132755,124907,137160,122517,127757,112498,98604
Damen-Brown,72885,67392,78107,69710,76356,76756,69614,74055,74929,78864,70663,64294
Damen-Cermak,36567,37081,42294,39007,42231,39485,38044,40251,41769,43561,39418,34850
Damen/Milwaukee,165831,159497,186652,175066,188327,197609,190529,196199,186512,190887,169020,149556
Davis,93262,88168,98002,95944,101565,104835,101357,103343,98172,104928,93531,81359
Dempster,22382,20738,22945,22712,23635,25802,25120,25608,23494,24744,22490,19938
Dempster-Skokie,42625,41703,46894,49392,54362,59617,58460,62113,56955,56515,47075,41684
Diversey,136050,127454,145730,134354,144995,153871,137542,148835,144472,154785,134846,118390
Division/Milwaukee,149777,143929,165352,150277,162660,163023,150480,164161,162307,169012,153397,137006
East 63rd-Cottage Grove,28021,27748,30263,27942,30490,31220,31003,32127,30207,31992,29516,26317
Forest Park,80672,78322,87917,84317,90211,94755,89017,96025,90790,93894,85197,75621
Foster,22502,22010,22298,22960,24749,25133,24550,25502,22428,26284,23022,15208
Francisco,40164,38077,44287,40522,44741,45797,40521,45458,44109,45968,40674,37262
Fullerton,346203,328758,334275,342676,367121,300921,259568,273382,375681,399453,303440,198751
Garfield-Dan Ryan,87547,85461,92414,88842,97440,95934,92056,93883,95115,97325,88244,78340
Garfield-South Elevated,31147,30593,34388,33022,36400,37890,39016,40235,36993,38594,34281,29122
Grand/Milwaukee,62634,59999,68906,64888,73613,78090,75163,78412,70915,75606,68271,60255
Grand/State,297826,274449,336925,325604,352718,380707,395963,399651,343852,355056,307188,287543
Granville,102979,106039,116549,109725,106701,106268,102501,108338,120272,120925,110824,95975
Halsted-Orange,62963,64428,72078,66995,65952,65338,61020,66882,74686,81379,68975,56139
Halsted/63rd,14835,15702,16380,15625,16945,16562,16090,16815,19091,19931,17278,14521
Harlem-Forest Park,29867,27843,31010,29431,31381,32744,31563,34894,33443,35153,31506,27219
Harlem-Lake,90092,89496,98327,94007,100012,105068,102147,107538,100995,104208,94191,85538
Harlem-O'Hare,68930,67192,77045,69599,77340,79720,72720,80147,76956,80332,73079,65516
Harrison,98355,109263,122743,117797,116716,106161,102834,113343,126502,140537,113213,91420
Howard,144040,141316,159127,151280,161223,162589,157459,163960,156121,162931,146809,138017
Indiana,19981,19982,22634,21018,22954,23288,22420,23669,23422,25269,22226,19986
Irving Park-Brown,77199,73467,84513,76556,85274,92554,80830,87350,85644,89089,79858,71514
Irving Park-O'Hare,102786,96741,112869,105642,115560,119005,113113,121966,116219,120846,110740,101746
Jackson/Dearborn,177999,169692,193063,180027,188624,188145,169403,193599,184367,205370,172409,136881
Jackson/State,267646,251331,274194,263892,277923,246685,221508,243226,265303,295324,224645,163111
Jarvis,43454,41513,45891,43552,45397,47877,46311,47829,46733,46556,42640,39589
Jefferson Park,167329,159040,180243,166832,181283,182252,172959,186600,181799,187471,173985,159825
Kedzie-Brown,49420,48188,55063,51995,55554,55620,49508,55026,55896,57440,52741,48414
Kedzie-Cermak,25411,25354,27997,26799,28670,28713,28543,30015,40216,30396,27460,25420
Kedzie-Homan-Forest Park,49868,49686,52820,48709,53692,52293,50786,52404,54808,56154,55037,53395
Kedzie-Lake,32158,33746,36579,31705,39909,37518,34815,37357,41308,42420,40260,39890
