stationame,1,2,3,4,5,6,7,8,9,10,11,12
Kedzie-Midway,79128,79892,91705,83650,91498,91734,86686,93670,95448,99047,90343,80230
Kimball,101871,98704,111329,102636,109519,107674,97440,106170,109826,112954,103522,94766
King Drive,14100,13770,14772,13722,14842,15573,14986,15490,15649,15876,14355,13384
Kostner,12149,11744,13351,12519,13967,13677,12936,13256,13941,14648,13229,12087
Lake/State,510399,482414,566728,528215,566736,604959,583308,613575,567880,597484,531893,496810
Laramie,29238,29403,31180,28790,32252,32542,30906,32471,32907,34183,30584,28211
LaSalle,72705,73562,84013,78360,77790,75051,69486,81740,82392,91358,78256,62941
LaSalle/Van Buren,65950,60834,73361,64008,70490,71404,64163,73432,65934,74307,69023,59214
Lawrence,92114,86977,101586,92920,98970,101171,97211,100267,98446,103595,94819,81782
Library,87704,86243,101272,93006,96535,100762,93431,107814,104341,115462,94286,72925
Linden,20082,18817,20870,22828,29051,33542,32951,35046,27771,27985,21709,20590
Logan Square,178676,170402,195250,181271,193297,200133,188125,202104,194578,202870,185390,168975
Loyola,132993,140507,150320,142113,129226,135524,132596,140297,168319,165292,146556,118065
Madison/Wabash,135,0,0,0,0,0,0,0,0,0,0,0
Main,31708,29233,32455,30787,32898,34824,33379,33921,33015,34413,30998,27433
Medical Center,69965,62803,72403,65760,65779,61772,56105,48901,55653,63135,54338,44478
Merchandise Mart,180420,167867,201121,179097,193690,205104,180465,210288,184794,208519,182179,155485
Midway Airport,195452,190018,225658,216012,238621,250675,237364,256863,246329,254662,228651,201538
Monroe/Dearborn,187173,181601,211059,191287,203937,207546,193441,216542,195190,213975,192135,166479
Monroe/State,260583,250518,294347,265848,283498,292733,276985,307834,272181,293767,252211,228864
Montrose-Brown,70333,66632,77223,71153,76658,77544,72282,76764,73090,77740,69997,62737
Montrose-O'Hare,60903,58953,67573,61200,66728,68144,65312,71154,70373,74485,67785,60414
Morgan-Lake,66258,64440,73705,70154,78308,85759,81489,84890,79799,82837,74277,66956
Morse,122137,116938,131013,121934,127729,133660,129101,132821,130384,134183,122361,111086
North/Clybourn,159160,150864,169866,156288,171623,173657,163093,172114,165592,170885,150752,146508
Noyes,23392,22337,23186,23303,25292,24552,25146,20263,23337,29098,25167,17388
O'Hare Airport,278965,249596,306591,308260,350344,359663,364100,372330,353032,364858,328319,298363
Oak Park-Forest Park,43403,40948,45528,43809,46093,47735,43816,48995,46164,48483,43551,38429
Oak Park-Lake,36484,35107,40243,38842,41224,44448,42060,45183,40606,42713,38040,34255
Oakton-Skokie,21881,22168,25055,23587,25107,26420,25453,26931,26589,27306,24067,20524
Paulina,67795,64811,73905,67286,72877,77368,71872,76947,73376,77172,68302,61426
Polk,70971,70044,78216,70879,71355,74873,68986,80854,81589,86710,76991,61866
Pulaski-Cermak,27367,27144,28860,26436,29068,29001,27943,29569,29594,30922,28503,26479
Pulaski-Forest Park,44153,44273,47777,45423,50038,48887,50901,50508,48302,50295,46078,42519
Pulaski-Lake,36205,36549,39492,36830,40336,39922,38277,36505,38928,39883,35410,33107
Pulaski-Orange,115823,118472,136932,121467,135458,134385,123030,131615,139419,144393,130423,114444
Quincy/Wells,180009,165308,199831,176936,196987,202473,184680,205522,180511,200334,177569,152293
Racine,50103,49563,57244,46355,56819,54727,41805,54872,61782,69624,59721,52942
Randolph/Wabash,219758,210840,241333,232726,256072,270906,274839,270845,10448,19,12,0
Ridgeland,31335,29894,34071,31643,35164,37989,35947,39426,35381,37296,33629,29395
Rockwell,46232,43666,50071,45607,48922,49779,43529,49297,47118,50062,45654,41753
Roosevelt,269049,272678,299771,294749,304299,337642,333563,374152,348596,342487,294385,264451
Rosemont,144930,137525,160195,155539,178532,191899,185910,195976,180436,185541,167120,147815
Sedgwick,93236,88862,100297,93790,104520,119214,107031,114468,103582,110377,95047,83818
Sheridan,138367,132636,148710,141818,151459,159522,147068,153230,150643,156729,131993,114061
South Boulevard,19445,18124,20132,19071,20681,21172,19771,21141,19630,20792,18332,16754
Southport,88934,83258,94334,91326,96403,102200,97351,103311,104591,105203,89470,81461
Sox-35th-Dan Ryan,103950,104993,118531,134300,144627,143136,157501,153198,150667,128256,109844,95314
State/Lake,225840,227435,256736,248542,262966,273411,278173,277744,326587,342753,326527,259780
Thorndale,80199,78477,90559,79271,87640,84775,75282,81272,87204,89869,82388,75206
UIC-Halsted,145715,159132,157200,157007,98213,94505,90720,114846,193684,206824,177054,108064
Washington/Dearborn,293173,279944,331025,303479,331492,355223,338347,358084,327611,353740,336327,314314
Washington/Wabash,242410,,,,,,,,6392,253751,258010,256426
Washington/Wells,182987,167922,201847,174406,193285,202832,175156,207314,177058,204852,178326,152694
Wellington,76112,71875,83680,76529,80985,85964,74583,80685,78418,83699,74268,63063
Western-Brown,101235,95520,109173,102055,108645,114570,112710,111914,113338,115345,104029,96740
Western-Cermak,27233,27477,31335,28671,31734,30940,29479,31123,31858,33093,30083,27935
Western-Forest Park,39822,41705,46338,40793,45340,43157,39944,41623,46573,47768,42649,37445
Western-Orange,88089,87800,99640,92854,101226,102090,96345,100965,101998,106060,96820,85220
Western/Milwaukee,118850,111749,140844,128624,138768,143891,132729,147554,139186,149216,135452,118757
Wilson,138378,136777,153376,135756,143698,150218,135700,145941,164411,56536,119297,163834
