"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"09/21/2020","AQS","170314007","3","6","ug/m3 LC","25","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"09/22/2020","AQS","170314007","3","11.5","ug/m3 LC","48","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"09/23/2020","AQS","170314007","3","12.8","ug/m3 LC","52","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"09/24/2020","AQS","170314007","3","11.7","ug/m3 LC","49","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"09/25/2020","AQS","170314007","3","9.9","ug/m3 LC","41","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"09/26/2020","AQS","170314007","3","7.4","ug/m3 LC","31","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"09/27/2020","AQS","170314007","3","10.3","ug/m3 LC","43","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"09/28/2020","AQS","170314007","3","4.5","ug/m3 LC","19","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"09/29/2020","AQS","170314007","3","1.9","ug/m3 LC","8","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"09/30/2020","AQS","170314007","3","5.7","ug/m3 LC","24","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"10/01/2020","AQS","170314007","3","3.1","ug/m3 LC","13","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"10/02/2020","AQS","170314007","3","4.9","ug/m3 LC","20","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"10/03/2020","AQS","170314007","3","7.4","ug/m3 LC","31","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"10/04/2020","AQS","170314007","3","5.6","ug/m3 LC","23","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"10/05/2020","AQS","170314007","3","8.5","ug/m3 LC","35","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"10/06/2020","AQS","170314007","3","7","ug/m3 LC","29","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"10/07/2020","AQS","170314007","3","7.8","ug/m3 LC","33","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"10/08/2020","AQS","170314007","3","6.9","ug/m3 LC","29","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"10/09/2020","AQS","170314007","3","15.1","ug/m3 LC","57","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"10/10/2020","AQS","170314007","3","12.9","ug/m3 LC","53","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
"10/11/2020","AQS","170314007","3","6","ug/m3 LC","25","REGIONAL OFFICE BUILDING","1","100.0000","88101","PM2.5 - Local Conditions","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","42.0602846910538","-87.8632254343829"
