stationame,1,2,3,4,5,6,7,8,9,10,11,12
Clark/Lake,0.015195834,-0.038239928,-0.553107874,-0.944977295,-0.946510359,-0.913598818,-0.80203664,-0.827124966,-0.793718181,,,
Clinton-Forest Park,0.073141887,0.050111485,-0.470659606,-0.914780653,-0.921429579,-0.898707263,-0.846495814,-0.813700103,-0.782947215,,,
Clinton-Lake,0.1449394,0.092493958,-0.459616038,-0.915660835,-0.915978234,-0.88323597,-0.822821286,-0.765245244,-0.728123903,,,
Conservatory,0.155977122,0.113484821,-0.302138096,-0.608554623,-0.65418296,-0.612649379,-0.493477706,-0.308736823,-0.238649237,,,
Cumberland,-0.013534756,-0.055407542,-0.498271365,-0.878322731,-0.888343153,-0.862480793,-0.802753445,-0.7366345,-0.723588743,,,
Damen-Brown,-0.007525591,-0.039498155,-0.557563593,-0.935494947,-0.936374617,-0.894892752,-0.775334927,-0.783980827,-0.757311685,,,
Damen-Cermak,0.067520642,0.023857373,-0.437950596,-0.853993466,-0.851984223,-0.792894746,-0.679493573,-0.548066874,-0.546052116,,,
Damen/Milwaukee,0.026830639,-0.012604032,-0.548789231,-0.940305065,-0.944207853,-0.909917073,-0.851969873,-0.786964366,-0.751284788,,,
Davis,0.059585846,-0.004845514,-0.487489959,-0.868979442,-0.868904929,-0.829490204,-0.768506667,-0.659599194,-0.634484176,,,
Dempster,-0.01423465,-0.017913187,-0.454111672,-0.838653966,-0.849336793,-0.826475332,-0.77086991,-0.663124903,-0.579155669,,,
Dempster-Skokie,0.079239265,0.007385224,-0.452881451,-0.859021718,-0.872044218,-0.84657933,-0.814777756,-0.756641412,-0.727728492,,,
Diversey,0.100374242,0.054180829,-0.506319729,-0.926808325,-0.927694293,-0.885271812,-0.745692412,-0.759179066,-0.725641094,,,
Division/Milwaukee,-0.028011104,-0.060959253,-0.543355963,-0.932848833,-0.935407818,-0.897850633,-0.827384549,-0.756380391,-0.712853437,,,
East 63rd-Cottage Grove,0.048207069,-0.007151315,-0.328868127,-0.677057069,-0.693004948,-0.595828408,-0.121021202,-0.117974003,-0.108068447,,,
Forest Park,0.00867881,-0.044936975,-0.386190926,-0.746071555,-0.760832222,-0.733307231,-0.653285094,-0.539139799,-0.495211097,,,
Foster,-0.016763917,-0.055644555,-0.499187766,-0.908833987,-0.906722588,-0.88702525,-0.849178889,-0.770910467,-0.72,,,
Francisco,0.026813596,-0.007143178,-0.521313231,-0.920110145,-0.922534841,-0.869631402,-0.726713602,-0.73192828,-0.730573799,,,
Fullerton,0.115296035,0.08015895,-0.434546098,-0.941478992,-0.942856067,-0.895106757,-0.827433538,-0.748549528,-0.780276513,,,
Garfield-Dan Ryan,-0.026889472,-0.046563652,-0.357637098,-0.717222004,-0.797700152,-0.832416019,-0.769128024,-0.714698008,-0.609773791,,,
Garfield-South Elevated,0.085389475,-0.011559186,-0.371470405,-0.743617733,-0.858492529,-0.825845911,-0.791042725,-0.74313939,-0.723975559,,,
Grand/Milwaukee,-0.015593122,-0.051743662,-0.530963283,-0.936000828,-0.930238885,-0.89032555,-0.812238581,-0.738149892,-0.700762249,,,
Grand/State,-0.015139111,-0.093951429,-0.578511434,-0.94339572,-0.95400259,-0.933345064,-0.868306449,-0.82040223,-0.771723549,,,
Granville,-0.04466483,-0.266240021,-0.517094546,-0.879187633,-0.86672158,-0.824831221,-0.78018308,-0.759512621,-0.649358706,,,
Halsted-Orange,0.097799662,0.009460857,-0.460893364,-0.88080839,-0.870338504,-0.813434314,-0.603819366,-0.616330697,-0.661076053,,,
Halsted/63rd,0.163110668,0.02941441,-0.320386043,-0.697952023,-0.576998266,-0.792089851,-0.634382723,-0.654060769,-0.692570125,,,
Harlem-Forest Park,-0.116943676,-0.169599428,-0.436735018,-0.75223614,-0.771563595,-0.730673395,-0.642101299,-0.497321411,-0.485656001,,,
Harlem-Lake,0.032072266,-0.003899108,-0.41593133,-0.765492332,-0.771387941,-0.732617408,-0.660000473,-0.509225172,-0.466404834,,,
Harlem-O'Hare,-0.016325025,-0.067407983,-0.480286581,-0.861581319,-0.866966424,-0.811192623,-0.719953519,-0.609582283,-0.577772748,,,
Harrison,-0.067343158,-0.015607205,-0.520068976,-0.94510949,-0.949722538,-0.92073761,-0.864445977,-0.808759136,-0.748433844,,,
Howard,0.038320639,0.008762876,-0.362491608,-0.728495316,-0.741779463,-0.704294396,-0.617449664,-0.485608642,-0.452125436,,,
Indiana,0.015018186,-0.031553106,-0.379841071,-0.733160169,-0.766874939,-0.701984465,-0.566898638,-0.336060073,-0.239520309,,,
Irving Park-Brown,0.039469022,-0.007254834,-0.547192341,-0.936219056,-0.939486781,-0.901058603,-0.780409938,-0.791299623,-0.770326175,,,
Irving Park-O'Hare,0.031759613,0.006067552,-0.441368825,-0.861029113,-0.871585173,-0.822392475,-0.707701203,-0.585416212,-0.563409971,,,
Jackson/Dearborn,0.070615622,0.027893196,-0.474647137,-0.901763607,-0.907284651,-0.900037795,-0.82766993,-0.784675085,-0.755849922,,,
Jackson/State,0.013884099,-0.034036035,-0.491284792,-0.923824699,-0.931888286,-0.91072049,-0.856209194,-0.817591645,-0.809383804,,,
