stationame,1,2,3,4,5,6,7,8,9,10,11,12
Pulaski-Cermak,23635,24083,25895,26461,29233,27871,29305,29220,29690,30514,26620,25895
Pulaski-Forest Park,44885,44023,47462,47197,50430,49006,48052,48021,46978,50899,46104,47840
Pulaski-Lake,35314,33310,38550,39467,44120,42019,41530,38346,36818,37660,34717,33645
Pulaski-Orange,103259,109202,121882,121051,129145,121694,124326,124432,136945,140626,121730,111302
Quincy/Wells,167280,167415,181851,188680,193320,182445,196562,192950,181805,211988,169583,154475
Racine,48335,50905,55219,49378,59411,51950,46272,46080,60055,57628,51845,45612
Randolph/Wabash,0,0,0,0,0,0,0,0,0,0,0,0
Ridgeland,28235,28273,31150,32748,34874,33804,34878,34748,33040,35953,30101,28988
Rockwell,41923,41519,45718,44877,47950,45997,46183,47385,46460,49430,35019,40210
Roosevelt,236071,245335,271607,275859,297662,309482,315298,318945,307886,342321,284729,261715
Rosemont,132545,133447,152995,157036,168484,171350,172121,177599,188010,225778,147731,141177
Sedgwick,82559,82356,92119,92025,102201,107464,106249,110434,103153,111915,87776,82006
Sheridan,113423,115003,130379,124814,130874,135411,124307,130909,132216,142046,119028,105454
South Boulevard,17196,17325,18564,19589,19886,19554,20917,21198,19993,21651,18832,18107
Southport,82007,80728,91958,91278,96144,96554,94985,97552,94984,99949,82039,76758
Sox-35th-Dan Ryan,83453,89983,98406,117331,136602,137121,146868,141272,131538,117323,100860,90362
State/Lake,252316,268052,311586,311301,326223,334540,349822,341992,339470,371217,305288,271380
Thorndale,71729,73011,79751,76337,81435,77671,81668,79896,85068,81980,74385,67131
UIC-Halsted,120000,163805,148919,170257,111884,89373,96735,121219,200995,222190,177206,106456
Washington/Dearborn,300816,303071,344872,342058,358542,362993,375766,371610,345935,390665,346886,333734
Washington/Wabash,215300,216890,253646,254861,266386,267920,295905,294037,264426,291827,255350,249522
Washington/Wells,173439,174878,181869,187029,194112,182067,193882,194946,185777,215199,173165,158159
Wellington,69923,69523,75886,77430,78956,78193,76158,77807,76429,85670,70429,62719
Western-Brown,93065,93534,103013,102956,102432,105800,108252,107210,106855,120329,121277,93337
Western-Cermak,24132,24469,27453,27473,29727,27526,28409,29375,29328,30588,26914,26060
Western-Forest Park,35211,37395,41643,40202,44582,41146,40761,41645,45777,47502,41532,37154
Western-Orange,78135,80550,88735,90518,94882,90638,95088,95672,98819,102925,88830,84432
Western/Milwaukee,123055,123972,136289,137584,144313,136682,143034,149514,142168,155918,133825,123074
Wilson,155619,161834,175740,169374,170536,170459,172485,175620,182279,194515,165389,149537
