stationame,1,2,3,4,5,6,7,8,9,10,11,12
18th,37774,39459,44800,46330,50367,46218,48394,48968,48349,53567,45109,40754
35-Bronzeville-IIT,34814,38677,42182,42988,40079,31349,42534,46716,48386,47505,37047,28402
35th/Archer,63280,65831,74550,74935,79585,74129,76951,77527,82115,86984,73498,66907
43rd,20798,21026,22658,23119,25185,24711,26747,26441,25280,26804,21558,21089
47th-Dan Ryan,63395,64104,70660,69705,76269,73560,78151,79400,76728,78389,70697,68803
47th-South Elevated,23441,23494,25741,26132,27646,27124,30072,30131,27361,28419,23046,22370
51st,22410,21508,23750,23503,24736,23750,26601,26611,25086,25956,22072,22124
54th/Cermak,45524,46026,51518,53825,57002,56707,58310,58853,57971,60191,52434,49205
63rd-Dan Ryan,70664,70601,77570,76517,83109,78781,79577,80681,83198,85403,76552,75077
69th,111784,109073,119037,116649,126835,117486,127780,125537,121308,127325,111346,109765
79th,148318,148030,161092,159341,174825,167957,177018,175973,170637,177559,158249,156867
87th,89398,89051,98791,96457,106303,102146,106057,105026,102698,104612,93378,92807
95th/Dan Ryan,214357,214852,228961,231909,251527,237748,249823,246366,244102,253132,224620,221429
Adams/Wabash,145040,160700,172100,180964,185635,171856,184412,186325,184584,218577,164022,133268
Addison-Brown,55483,56726,64935,60851,67114,61666,57466,59339,64042,66094,57200,53353
Addison-North Main,147569,148856,131835,225991,270963,341742,254675,301403,272297,192956,161187,147897
Addison-O'Hare,64253,64839,73701,75038,80163,68274,75403,77455,78870,79930,68899,65191
Argyle,74175,74230,82121,80761,83486,83411,83179,84976,83122,89759,79162,71748
Armitage,95486,95963,107480,102608,115613,108816,100960,103266,110670,113649,98752,90388
Ashland-Lake,51938,53390,61830,59842,64216,61339,70240,63734,65545,73179,62846,56966
Ashland-Orange,33958,34789,38839,38802,41961,39912,41473,41977,43404,46661,39352,37038
Ashland/63rd,23508,22839,24957,25855,27866,25690,26815,27123,26127,26519,22454,22137
Austin-Forest Park,40799,42096,44146,46858,48136,45723,47627,47617,47986,51902,42042,38601
Austin-Lake,40353,39555,43153,43474,45997,44998,47633,48337,45207,48289,41386,39782
Belmont-North Main,280337,277879,326274,314616,332989,342692,314529,332575,318995,348049,292789,263441
Belmont-O'Hare,106872,109375,103811,122790,128869,125162,131130,130987,126610,137748,122123,114655
Berwyn,77873,78701,86430,84096,86806,87543,87095,88276,87467,92648,82263,74355
Bryn Mawr,109348,110474,119401,118737,123947,102983,116594,121168,117764,129771,114082,105937
California-Cermak,29369,29824,32861,33408,36988,37789,37319,36982,50835,39550,34293,32078
California-Lake,23068,22604,25566,25979,27985,26570,27232,27398,26393,27853,23572,22574
California/Milwaukee,125618,127605,143868,143627,141833,144479,148145,153338,148738,161477,137026,126708
Central Park,25254,25471,27525,27845,29417,28680,30341,30156,31159,32045,28042,27211
Central-Evanston,17266,17013,17867,18442,19237,20461,20920,22151,23020,29524,20604,17059
Central-Lake,43549,43185,47782,48804,52082,50174,52442,52226,52309,54544,48061,47491
Cermak-Chinatown,88375,98380,117745,112606,130179,132660,130094,136010,134786,149239,117348,108837
Cermak-McCormick Place,32751,39826,48040,55087,51350,50077,51529,52014,50538,60933,37107,35472
Chicago/Franklin,153837,154666,165744,167448,173048,166244,173760,178419,173769,190004,157346,139090
Chicago/Milwaukee,83338,87772,100424,98441,104833,98609,99862,99822,101072,121315,104615,82365
Chicago/State,321309,323862,359656,364182,372901,391799,401842,408951,394635,427628,383961,351125
Cicero-Cermak,26476,26571,29811,31202,33094,32315,33562,33575,31643,32459,28900,28453
Cicero-Forest Park,30747,30339,33130,33392,35321,34783,35505,37193,36118,37445,33157,31409
Cicero-Lake,27546,27381,30028,30053,33658,32241,32802,32633,32022,33152,29580,29224
Clark/Division,183502,182866,201232,197081,216161,217901,216360,220421,214279,226043,196192,180943
Clark/Lake,436287,433898,488910,491023,515785,504296,525120,529193,492305,554822,441955,417173
Clinton-Forest Park,74115,74472,79517,79942,80994,76151,82713,87482,84738,95434,83985,80937
Clinton-Lake,93711,96993,103402,107481,109926,113158,114176,110711,106572,120799,103779,91157
Conservatory,19800,19195,23720,22425,25028,23165,25484,24108,24023,25628,23380,22770
Cumberland,90585,91247,101509,104053,109012,110000,110494,113519,108167,113967,96143,91114
Damen-Brown,64567,65340,72642,70533,75260,70633,68941,70620,72015,77668,66678,63376
Damen-Cermak,33289,34137,37988,38143,41150,38425,40037,40449,41266,44940,38522,34931
Damen/Milwaukee,144877,145736,168303,165443,168996,175584,182878,181335,175307,204424,163696,146571
Davis,82929,82477,89128,93012,97840,95275,96608,95207,91014,101914,88214,77822
Dempster,19350,19219,21417,21783,22958,23357,23496,23690,21118,23150,20837,18559
Dempster-Skokie,38310,39370,42065,47632,51158,54937,50750,54826,49998,48926,40822,38539
Diversey,127759,126916,138903,135260,143185,143644,139615,144573,141270,159783,131373,118726
Division/Milwaukee,141985,142358,158897,156532,166418,158942,162056,162411,145067,104031,112400,124746
East 63rd-Cottage Grove,21897,22250,24118,24243,26995,26218,28799,28573,27410,27925,22746,21695
Forest Park,70357,70832,76396,79111,80644,78739,81616,82430,79469,85590,71072,67983
Foster,18050,19557,19570,21920,23456,22719,24558,21813,20277,24978,21005,14839
Francisco,36916,37374,41751,41566,44785,43447,43974,44270,42678,44466,30817,36956
Fullerton,293352,307525,303485,336833,352432,296985,262843,264402,360219,414009,318540,208919
Garfield-Dan Ryan,70241,69272,75382,75808,84608,82443,84194,82295,81999,86550,77082,70852
Garfield-South Elevated,18672,22024,25381,26674,28940,28877,33333,32952,29984,30818,24704,20838
Grand/Milwaukee,65795,64298,71626,72413,79820,80254,81325,81378,73366,79258,54475,61710
Grand/State,265020,256391,307157,300617,333445,356310,363545,361751,315937,341882,295181,282795
Granville,92385,98788,106681,104179,97463,93171,94258,97599,109550,116982,105454,85294
Halsted-Orange,54202,60682,64173,67369,63011,58566,60123,62999,73013,79949,65968,56141
Halsted/63rd,11870,12651,14042,13925,14038,13067,13570,13659,14712,14884,12119,10677
Harlem-Forest Park,27331,27039,28903,29557,29804,29370,29845,30251,29088,31299,26346,25263
Harlem-Lake,82086,80855,90355,92332,96208,95657,98639,100649,94794,101011,86392,82835
Harlem-O'Hare,63955,64677,72490,73632,74990,70582,71830,69909,73075,79443,66816,63477
Harrison,82861,96085,101875,102118,103040,98777,94834,101487,114775,127892,106123,82647
Howard,126361,125736,138325,139365,146330,142680,143380,143241,138869,147909,132134,126479
Indiana,17447,17345,19561,19437,21063,19730,21094,20554,20652,21396,17549,16135
Irving Park-Brown,73619,74172,81058,79526,84663,83877,79987,80646,81072,87000,73464,68254
Irving Park-O'Hare,96138,95823,107032,106092,113610,110445,113997,113175,109098,117404,102906,98087
Jackson/Dearborn,145263,158517,168616,173389,174352,163041,170661,182244,183231,210043,164672,137300
Jackson/State,200023,220823,216428,236655,232253,195757,203052,208505,234496,279576,215406,158613
Jarvis,36453,36710,40430,39651,41696,42046,41542,42277,40989,42962,38171,36535
Jefferson Park,139394,139322,156216,157455,164524,159458,165973,161350,166902,177549,156009,152250
Kedzie-Brown,47313,47194,53522,52735,56077,54315,55078,55823,54666,55145,38552,47547
Kedzie-Cermak,22275,22973,25157,25811,28085,27235,28571,28245,39332,28725,25003,23677
Kedzie-Homan-Forest Park,42640,41818,45744,45011,48868,48492,52688,55424,52840,53428,47460,47413
Kedzie-Lake,31537,32275,35379,34052,38399,34687,33791,34861,37981,37573,33867,32034
Kedzie-Midway,73259,75233,84660,84631,88844,83125,85307,86474,91679,96865,82951,76561
Kimball,93870,94695,104408,102762,107317,102861,104802,105751,108052,108203,78728,93645
King Drive,11114,10628,11493,10943,12570,11968,12997,13176,12459,11834,10083,9866
Kostner,11200,11156,12145,12054,12961,12326,12468,12162,12391,13053,11329,10789
Lake/State,480049,481530,530400,528643,551602,557473,570382,572898,548715,594404,532140,502603
Laramie,25346,25788,28957,28895,31363,29140,29026,29142,28621,29738,25876,25229
LaSalle,61621,68420,73265,74858,73333,69332,70634,75824,81986,89747,72995,61325
LaSalle/Van Buren,64815,65944,69621,70532,72463,67917,72550,71674,68671,78510,66109,61257
Lawrence,74932,75169,82722,79644,87041,81655,82039,83456,87009,87860,81357,72512
Library,73427,83540,89608,92735,93746,80329,89823,93843,104696,115646,89060,70556
Linden,18559,18765,20690,23488,28941,31010,29534,31872,26602,25291,21131,20438
Logan Square,172105,174103,202442,191942,196887,190180,195114,199211,188953,207496,178638,164643
Loyola,119971,135528,144235,143120,124690,123697,128641,141006,169275,172382,147665,113194
Main,26673,27374,29292,30581,31307,31381,31660,31517,30013,33138,28591,26695
Medical Center,60540,64676,71043,65932,63394,59112,61886,62892,74375,80772,67275,57312
Merchandise Mart,172847,170559,190673,194647,198050,196175,197526,198979,185121,210190,167799,155251
Midway Airport,170967,173636,199973,208482,221777,215893,219685,225306,223456,237265,193304,187596
Monroe/Dearborn,170658,175389,189444,195986,201110,191460,199085,201436,188636,215248,178380,161362
Monroe/State,220882,226032,239953,244130,254048,245475,255865,262103,241735,272119,227989,210478
Montrose-Brown,60177,60587,66295,65268,69149,67631,68393,70148,67951,74451,64549,58967
Montrose-O'Hare,59385,59808,65950,66046,67040,59261,65601,67812,66864,71299,60788,57735
Morgan-Lake,77366,77852,89943,91967,100278,100057,97293,102137,91489,102392,91667,82649
Morse,106407,108343,117250,115807,119216,118266,118800,119433,119843,127549,113227,103737
North/Clybourn,137861,134089,147270,144303,155315,144363,151804,155440,156133,167526,147426,139086
Noyes,21513,22370,22089,24033,25387,23766,25041,22038,21059,28338,23718,16685
O'Hare Airport,269656,252631,304827,322534,369485,314970,371500,373091,313233,298318,308633,312289
Oak Park-Forest Park,37706,39604,41746,44503,44099,42133,43868,44385,43802,47799,38836,35957
Oak Park-Lake,32972,32938,37324,39220,42629,41136,41767,43525,39626,43389,35185,33668
Oakton-Skokie,19954,20249,21888,23399,23559,23424,24097,24904,25128,27224,22099,19035
Paulina,64394,64386,71592,69550,74490,73408,74025,76074,73308,79160,67254,62026
Polk,65254,68641,71052,74398,72384,67996,73865,75061,80020,86939,72398,61183
