stationame,1,2,3,4,5,6,7,8,9,10,11,12
18th,45209,43826,46890,49225,49580,49315,52531,53121,52430,59578,50809,46140
35-Bronzeville-IIT,54802,55037,57203,62132,96994,135871,163900,178602,174381,138550,62687,49905
35th/Archer,69894,66850,73422,77511,80904,77753,79670,82437,85328,92030,78341,72051
43rd,25400,24122,25631,28026,33028,38924,42997,45461,44917,44413,30701,28678
47th-Dan Ryan,79341,73431,80169,81340,48346,0,0,0,25643,68632,69155,0
47th-South Elevated,33272,32626,33861,34916,45211,57389,63177,66334,64135,60841,38744,35661
51st,29527,27240,28830,30665,36702,42981,46131,47999,48155,46777,32823,29619
54th/Cermak,50230,46750,51684,56295,56436,57915,62100,59531,57630,61643,53595,50239
63rd-Dan Ryan,85289,78791,84509,83472,50104,0,0,0,31358,82649,80318,0
69th,141035,129147,139380,139214,82930,0,0,0,49826,125473,125655,0
79th,184402,171824,185155,183400,109837,0,0,0,67492,167737,173690,0
87th,114526,104661,113746,112732,67902,0,0,0,42712,108093,106179,0
95th/Dan Ryan,300463,276155,292019,294400,174716,0,0,0,117770,276785,264554,0
Adams/Wabash,168862,176065,160742,184551,180699,190487,207753,195705,185790,214713,171596,141310
Addison-Brown,61810,59436,59620,63766,64290,64089,61851,64725,66461,74436,62058,58205
Addison-North Main,176866,165420,204241,245972,298175,305164,328687,333488,274104,224509,191831,162480
Addison-O'Hare,66491,62229,68647,72787,77830,74839,77509,80391,78121,83558,71119,66384
Argyle,73843,70105,78888,75771,80232,83788,85095,87890,84730,92054,84025,79681
Armitage,111855,104356,99279,110722,110515,116795,109214,113951,115727,130405,107650,98335
Ashland-Lake,58430,55885,62623,63094,66314,62219,81403,72324,67913,73856,60259,56399
Ashland-Orange,39024,36965,40612,42027,45660,46686,47984,48443,49007,52845,41833,38364
Ashland/63rd,39288,36149,34885,33348,58607,86195,92782,95501,95350,85119,43034,38415
Austin-Forest Park,50433,47582,51571,54399,54771,51608,53592,54521,58492,61011,52256,47461
Austin-Lake,48334,45159,48501,50161,53096,51853,54943,55523,54055,58029,50723,47879
Belmont-North Main,345582,325056,366496,366967,376755,394042,375567,375214,378282,413093,357346,313269
Belmont-O'Hare,134634,129690,144245,145257,148242,141042,145754,149364,144801,157635,137726,134272
Berwyn,75593,74475,81797,82339,83440,89465,89640,92238,96075,99153,89400,85998
Bryn Mawr,126592,122324,133301,134290,136141,137750,142884,144255,138893,149792,130240,121615
California-Cermak,36328,33987,36582,38152,38976,37005,39833,40447,40070,42435,36886,34143
California-Lake,26446,24760,26050,28142,29915,28531,30036,30012,30925,32066,27644,26797
California/Milwaukee,123688,118457,133261,133995,131138,126434,132862,135005,138437,147439,132193,122427
Central Park,32141,29608,32064,34802,34745,33384,36234,36371,36562,38708,33055,30595
Central-Evanston,20973,19263,18994,20399,21170,21888,23229,22709,24828,28948,27623,18669
Central-Lake,59576,55229,58323,60740,63930,60655,62875,63491,61777,67072,58183,57961
Cermak-Chinatown,112723,113139,135445,127308,80328,0,0,0,41218,111834,101804,0
Chicago/Franklin,165824,165248,151797,167626,160080,163336,175888,175073,168080,195185,163587,150333
Chicago/Milwaukee,105993,103905,114690,112494,115563,110170,113251,114624,114102,126581,110662,104547
Chicago/State,382920,348148,429705,422870,419720,421738,467299,462668,434851,474041,445199,410508
Cicero-Cermak,32604,30515,33822,35168,36457,36938,40026,39722,36343,39123,35687,33596
Cicero-Forest Park,36253,33211,36360,36620,38460,35805,37434,39081,39471,42587,38453,36207
Cicero-Lake,35637,33752,34938,36594,38570,36207,39381,41496,40716,43555,38160,37016
Clark/Division,202337,181522,213148,214387,219070,222371,194862,233204,221955,241502,214549,195648
Clark/Lake,434766,410167,448344,471036,473512,476922,510409,507768,466915,520504,425283,397932
Clinton-Forest Park,87832,82938,94009,90160,89162,84934,89896,89949,84649,96867,86065,84981
Clinton-Lake,102034,98381,109163,110699,109535,103463,109368,109625,103640,115902,97640,87676
Conservatory,21625,19711,21672,23987,26360,23587,25911,25200,25704,27470,23645,22459
Cumberland,104424,99399,112663,119107,123665,130035,138582,138045,125189,132339,111191,103930
Damen-Brown,65563,62647,63784,66542,65313,66415,66927,67955,67844,74283,65082,62084
Damen-Cermak,35122,34558,35950,38847,38676,36735,38850,39834,40238,43395,38849,35462
Damen/Milwaukee,161804,154249,181902,180082,186296,188738,203529,198878,188214,199911,174015,159078
Davis,99979,95674,99038,105171,108285,106918,109420,105270,99774,113949,102624,90086
Dempster,21284,20583,22175,23244,24072,24353,25215,24678,24242,26987,24637,22908
Dempster-Skokie,51846,49118,52506,58240,61802,62841,66663,66549,61493,63240,54029,49115
Diversey,146764,138799,142933,149327,146727,159875,158339,161647,153766,171979,147579,132185
Division/Milwaukee,153520,146255,161933,161046,160649,154028,158993,161724,167100,178227,158637,151061
East 63rd-Cottage Grove,33786,31804,34466,36373,48481,59009,63452,64914,62998,61506,41102,36403
Forest Park,92042,86307,93634,96996,101183,98565,105131,103896,97956,104090,90249,85755
