stationame,1,2,3,4,5,6,7,8,9,10,11,12
Foster,21080,21068,19946,23450,24986,23559,23546,21435,20745,26803,22881,17099
Francisco,37834,35178,37868,39067,40164,39843,42772,42988,41308,44963,39211,37617
Fullerton,380225,361183,356765,398746,399427,346974,310732,300120,398068,460415,367942,233525
Garfield-Dan Ryan,92515,85425,94560,94775,57269,0,0,0,36047,90991,84484,0
Garfield-South Elevated,33538,32110,37514,39947,154290,351924,402719,435799,413846,271854,46544,39513
Grand/Milwaukee,58593,55802,63192,63871,66114,67118,70597,72364,63788,71706,64514,60338
Grand/State,268036,228261,310994,301793,327873,328293,383874,375607,329018,340106,320647,315195
Granville,102108,102808,111163,111197,103849,101568,105648,112118,124073,135312,121180,102696
Halsted-Orange,65291,64314,67328,71140,73729,76172,77280,80030,87404,97318,74603,64960
Halsted/63rd,23156,21726,20715,20938,35730,56378,59050,62503,67533,57902,25951,22470
Harlem-Forest Park,26207,24313,27643,27520,28691,28696,31290,32256,30116,31580,29441,27116
Harlem-Lake,92506,87396,94303,97172,103650,105089,111499,116108,108309,115275,101880,95030
Harlem-O'Hare,70188,65996,72523,76150,78629,78201,79395,81954,79557,87695,75543,69588
Harrison,94999,111370,123052,128963,117828,100217,105941,104870,128416,147833,129216,98995
Howard,166602,157737,171065,174487,177874,176163,177865,177354,174991,186262,167002,159052
Indiana,23309,22302,23771,25354,29611,33747,37628,39181,42324,40638,27416,25861
Irving Park-Brown,79984,74934,77431,79470,80622,87929,79976,82436,81607,90422,79176,74454
Irving Park-O'Hare,109918,102456,113443,114274,119473,118540,120304,122885,120678,130437,115795,108705
Jackson/Dearborn,190941,186888,199500,212025,210450,206075,219046,220646,213717,241020,196193,162972
Jackson/State,278342,255176,296256,314802,293658,242682,249419,250777,275827,325767,264428,199251
Jarvis,36690,36304,41930,41927,43231,44774,47070,48252,48167,51321,45621,42745
Jefferson Park,162543,152599,169760,176344,181396,176669,183517,188661,183545,196120,172500,163128
Kedzie-Brown,50689,47778,52243,52937,53810,54342,82430,60101,60292,63628,55744,53582
Kedzie-Cermak,26336,24925,26988,28603,29151,28610,30522,30942,31098,32518,28015,26380
Kedzie-Homan-Forest Park,56409,54224,59309,60483,61813,58452,60666,62263,63707,67495,59406,55297
Kedzie-Lake,36112,34215,34917,37013,39976,42843,46198,46546,53313,54461,44392,39605
Kedzie-Midway,79428,75315,81764,86460,89932,88391,91159,92704,93326,101379,86365,78204
Kimball,107839,101446,104215,110426,108700,108307,76834,110691,115190,123280,108606,102432
King Drive,16342,15579,17001,18932,25107,30126,30414,31541,30281,28975,19717,18115
Kostner,11211,10395,12161,13566,13730,12695,12813,13112,13827,15116,13616,13169
Lake/State,430367,392392,507760,496532,487341,463189,503012,498837,469739,531878,508017,503669
Laramie,34929,32716,34745,35729,38937,37721,38642,41050,41096,43337,37077,34893
LaSalle,64929,71788,75927,81672,75001,68804,71487,74315,85956,96471,81495,65592
LaSalle/Van Buren,71727,65571,54672,65376,61933,65792,70374,69839,66940,76934,66259,62451
Lawrence,81649,77385,85875,86545,92335,88854,94369,91338,93595,104747,99372,86667
Library,102535,105338,94458,111301,101010,98532,108073,109429,113654,128977,103407,82486
Linden,20586,18867,19421,22158,26578,28503,30767,29892,24645,25049,21768,20767
Logan Square,173663,167860,185105,186432,184578,179401,188793,191724,185260,202384,180594,173641
Loyola,129021,132290,138458,147673,129685,129407,136609,145414,183950,201957,185702,155002
Madison/Wabash,160867,158662,149040,162826,165534,185290,204804,201166,185082,200733,171869,165006
Main,29771,28983,29690,32171,32441,33233,32853,32713,32331,35136,32373,30345
Medical Center,87823,85906,92887,94279,85733,76907,81603,84860,97052,108886,91264,79320
Merchandise Mart,163104,154358,145508,162661,151656,162966,171533,167547,154433,190893,159359,143911
Midway Airport,203508,190662,219432,230815,245521,245579,243316,256277,245475,262310,223372,217378
Monroe/Dearborn,162490,158675,177437,182375,178590,171430,185696,186987,176793,197305,167518,153198
Monroe/State,237403,219927,284954,272569,264319,237113,258869,260123,259428,274177,245852,231863
Montrose-Brown,70957,67279,70030,73156,72902,74541,77377,77851,75252,83118,73278,68615
Montrose-O'Hare,57317,54083,59642,62087,60957,57675,64806,65945,65866,72841,62709,57485
Morgan-Lake,43341,42141,44834,47133,49153,54997,56731,55226,51952,57363,50240,48065
Morse,123329,120124,131189,132894,133080,135462,138857,140534,132888,130178,107882,96925
North/Clybourn,151153,133697,162090,161721,164930,160163,161733,165233,163461,178507,162105,154934
Noyes,19604,19849,18823,21242,22036,20586,22715,20049,18610,24967,21526,15796
O'Hare Airport,248326,221179,273789,276102,319036,313840,319185,332940,301440,315997,281980,279312
Oak Park-Forest Park,41817,39870,43372,45934,46131,45816,47980,49071,47435,52165,44422,41562
Oak Park-Lake,35847,34187,38244,40314,42500,43028,45259,45568,43138,45767,38245,36254
Oakton-Skokie,20284,19795,20446,22969,23628,24049,26472,26573,26341,28755,23217,20793
Paulina,70475,66291,69011,71428,71944,74758,80029,78990,74527,82478,70854,66063
Polk,76610,75912,76234,81710,75967,73257,81123,82217,83209,92279,77197,66788
Pulaski-Cermak,30945,28914,29936,31918,32505,32090,34145,34409,33675,35808,32945,31504
Pulaski-Forest Park,51714,46362,50060,50351,52354,49977,53599,54638,52905,57430,52778,52056
Pulaski-Lake,52230,47708,50914,54508,55165,50297,52124,53611,49634,53991,47970,45433
Pulaski-Orange,122293,115665,122289,131359,133451,128427,130213,130220,135984,147526,123452,112348
Quincy/Wells,189402,173290,152630,179139,175930,185891,206769,202995,188072,218345,179855,168215
Racine,63153,59344,60482,65287,65964,60852,52885,59476,68015,76448,63992,55822
Randolph/Wabash,173370,167377,157584,177420,178968,193836,212102,205411,189027,205865,181220,172999
Ridgeland,31237,29490,30771,32825,34715,33886,36177,36467,34683,36858,31085,28754
Rockwell,45810,43242,45801,47058,47137,47129,49023,49388,47946,53613,46787,45628
Roosevelt,266231,266758,300681,303597,326360,358141,400958,380869,395352,382097,323457,287584
Rosemont,124126,118419,136826,142313,158376,168330,181790,199041,175083,187843,158351,143225
Sedgwick,100858,97270,86886,99370,98548,121305,120060,119878,111567,119933,98979,89226
Sheridan,142732,134845,145326,148872,150103,152742,152973,157052,157806,171058,150196,132748
South Boulevard,20183,18985,19429,20999,22053,21753,22227,21409,20764,22983,20217,18884
Southport,83129,79449,82160,84883,85545,91194,92540,94187,90537,96952,84706,78575
Sox-35th-Dan Ryan,108260,102888,114423,144679,76498,0,0,0,42005,107171,93040,0
State/Lake,228785,234884,219506,247717,233449,255114,279725,278246,279287,304611,257581,224655
Thorndale,72429,69208,75750,76980,78881,77113,76247,82271,87385,95380,83635,78291
UIC-Halsted,133498,160232,150883,171560,114755,95195,108271,121806,168815,211508,172468,106312
Washington/Dearborn,219972,207478,234883,238357,247608,271634,296869,294865,275025,306273,287455,295484
Washington/Wells,174386,161497,146015,167166,162300,167480,180181,181544,173205,200150,161873,154854
Wellington,77303,72631,71028,75452,73456,83019,79363,80651,78861,89442,77145,69152
Western-Brown,109592,103028,109455,111814,113651,117268,119785,118972,118945,123543,110951,105626
Western-Cermak,27994,26487,28565,30124,31230,30579,32263,32932,33111,35020,30773,29331
Western-Forest Park,43296,41059,44944,45428,45935,43736,44145,45880,47933,50404,45301,41890
Western-Orange,88190,83744,89419,93588,97291,97211,101139,101518,103967,112365,96490,89915
Western/Milwaukee,123404,116641,130022,131331,130548,127380,133204,135962,133533,145023,131612,123995
Wilson,163918,159247,165594,173255,159120,162401,166686,165933,183695,197307,169965,149735
