stationame,1,2,3,4,5,6,7,8,9,10,11,12
Indiana,23739,25010,27706,24825,26848,26362,28557,27364,28575,29515,23050,22947
Irving Park-Brown,78434,78585,86941,84510,84404,92659,83834,81600,83247,90056,75453,75561
Irving Park-O'Hare,103929,105970,116509,115472,118228,115688,119713,117540,121658,130003,110575,113062
Jackson/Dearborn,172017,180342,199230,201496,198633,196137,207999,203665,211559,235695,184007,166772
Jackson/State,250993,262283,275403,299050,293131,279948,285931,264623,308996,350435,273195,217332
Jarvis,43795,43025,47452,46612,48888,48950,49363,50106,50106,52335,45947,45038
Jefferson Park,159462,158924,177768,177193,182394,180098,187789,186229,187665,198643,167959,171895
Kedzie-Brown,53100,52695,59586,58601,59348,56567,56459,52837,57901,61058,52493,52916
Kedzie-Cermak,25790,26568,30988,30943,31804,29741,30408,29874,31653,34353,29227,29843
Kedzie-Homan-Forest Park,52507,54163,61541,60272,64294,61324,64910,63776,70086,73879,61245,64309
Kedzie-Lake,37192,40472,44565,43105,45595,40865,40498,40329,49278,51032,40530,41660
Kedzie-Midway,74160,79667,90546,90256,89196,86964,70830,66740,75258,78980,65600,67309
Kimball,103348,104699,116411,116670,114678,109566,109867,103318,119657,124528,103724,105228
King Drive,15795,15855,18288,17479,18633,18114,19107,19152,18954,19499,16333,16533
Kostner,12282,13509,15405,14447,15076,13659,14571,14136,15906,16924,13933,13911
Lake/State,463449,468164,536364,535918,535223,561807,591670,577359,571476,610648,535861,548983
Laramie,32818,33384,38261,38308,40919,39075,40526,40388,43082,44718,36195,37850
LaSalle,65420,74349,79980,81389,75993,69052,71194,69341,86756,94361,73921,66033
LaSalle/Van Buren,69650,69362,73384,72782,70066,69744,70457,66230,67056,72743,59126,60387
Lawrence,57689,87767,99264,100755,102508,94358,101559,98848,101634,111845,97806,92989
Library,85794,96255,106138,111077,104169,102635,107282,102015,114427,125785,98401,86125
Linden,18733,18812,21459,24071,26064,29206,31293,29037,26467,24411,20778,21582
Logan Square,175500,176097,195820,181739,189467,188404,185491,202895,216239,224118,174364,175519
Loyola,163251,146955,152896,152430,138885,135408,140579,150223,178655,182310,155164,130930
Madison/Wabash,150061,158656,179946,178228,173261,184563,196558,191549,183646,196038,163725,171825
Main,31455,31005,34040,34104,34430,35705,35451,34220,34384,36293,31364,30990
Medical Center,81454,86781,95959,91134,83231,79284,81602,83867,101406,109451,84282,79480
Merchandise Mart,165114,167221,186444,183437,175191,183137,177986,169080,175285,198185,158633,160550
Midway Airport,190539,191969,229326,235964,242085,246329,256072,253302,253640,265542,217360,222845
Monroe/Dearborn,159261,163110,179613,184008,178518,177213,187086,180669,183353,201188,160744,159376
Monroe/State,229007,237500,261271,267885,261680,274281,289662,282629,284941,308198,261625,259456
Montrose-Brown,71272,71324,77868,76438,76253,74676,74535,73186,73681,79119,65537,66973
Montrose-O'Hare,56259,57643,64195,64640,64137,63710,66120,65246,69713,75122,60960,61135
Morgan-Lake,51495,51528,58155,57868,56987,61760,62594,63234,63146,68175,55606,54819
Morse,104404,132121,144314,141310,143050,143086,144928,143831,144998,151401,132419,129705
