stationame,1,2,3,4,5,6,7,8,9,10,11,12
Garfield-Dan Ryan,94228,93768,101180,98464,103501,102011,100736,98555,102423,105366,99166,86760
Garfield-South Elevated,34162,33830,36777,34664,37320,38073,39328,37764,36261,38591,35325,30469
Grand/Milwaukee,67250,68492,74903,70843,74051,80557,78750,76851,71648,75242,67630,60648
Grand/State,309809,301034,349255,342842,369455,393664,433165,406011,356503,387165,345379,308404
Granville,107457,115314,117337,118373,108374,109181,111187,108986,121888,131912,119043,99951
Halsted-Orange,65263,70527,76659,73541,68776,69519,67043,71070,77700,81159,72734,58183
Halsted/63rd,17942,18518,18791,17532,17320,17327,16758,16764,20036,19002,16950,14221
Harlem-Forest Park,27749,28576,30975,30714,31730,33037,32087,34249,33980,35290,33025,29357
Harlem-Lake,92659,94084,102558,83769,85803,103548,103921,106419,103925,105175,100779,86922
Harlem-O'Hare,70863,72711,81735,75818,78110,79872,76658,78560,68479,76323,80257,67173
Harrison,104244,124044,127140,131943,123946,114102,125913,101581,135264,152987,132304,100923
Howard,148439,149915,163758,158290,160931,162428,160606,164015,163645,171234,157129,144717
Indiana,21933,22001,23314,21320,22857,23043,23564,22570,23851,24537,22834,20063
Irving Park-Brown,76495,76541,85526,81013,83223,92771,80617,82823,82649,86708,80366,71944
Irving Park-O'Hare,108824,109482,128773,123179,129340,128704,90853,102388,112571,114151,110633,101010
Jackson/Dearborn,174018,187164,205493,198723,193131,202388,203076,192424,201489,213433,196874,151256
Jackson/State,263237,286263,290335,301496,289137,272869,266585,252144,295896,314932,271701,191852
Jarvis,45039,45282,49519,47623,48488,49137,47672,48465,49477,48719,47003,42966
Jefferson Park,165621,167946,185833,178752,188226,189405,184893,190767,192319,192268,183103,163597
Kedzie-Brown,50345,50958,56272,54010,55882,56082,54861,55331,57195,59128,55388,49788
Kedzie-Cermak,27392,27979,29675,27599,29377,29801,29458,30101,38139,30622,28864,25387
Kedzie-Homan-Forest Park,58096,55432,59511,58231,63823,64209,60660,61932,66506,64056,57651,51055
Kedzie-Lake,41416,39641,45621,42531,48299,45779,38873,39323,43211,42168,39371,31200
Kedzie-Midway,77610,82972,89789,87368,89259,92373,88960,92336,97193,98870,92789,81008
Kimball,101563,103294,112532,108442,108781,111375,106877,110196,116084,119632,112257,101819
King Drive,14835,15288,16914,15636,16769,17311,16941,16510,16630,16382,16375,15167
Kostner,12547,13120,14089,12734,14187,14122,13949,13976,14353,14288,13598,12374
Lake/State,514199,532100,585413,569004,585593,622054,615773,620554,602868,628332,595317,542698
Laramie,33434,32726,35073,50639,51932,34086,32635,32895,34351,35840,33006,29486
LaSalle,69432,79925,87758,85352,79183,78993,84404,77528,88812,95822,87143,67154
LaSalle/Van Buren,64004,65947,71679,65760,66460,71766,66342,71151,68159,69490,66155,59938
Lawrence,88681,89425,96081,93817,95171,95147,96978,93864,96160,111030,102186,89610
Library,85493,94533,99187,96137,96104,116154,105887,102427,111967,112050,103597,74624
Linden,19899,19842,21885,24094,29626,32456,33557,33168,28344,32814,25116,20093
Logan Square,178605,183378,201998,190780,192563,199408,193482,197341,195550,202487,190554,175004
Loyola,133630,152559,152621,154678,136712,142893,141119,141678,173690,168980,160281,124949
Madison/Wabash,154,0,0,0,0,0,0,0,0,0,0,99
Main,29284,29845,31957,31608,32564,34578,33531,34408,35071,36270,33499,28916
Medical Center,74801,79156,88569,80759,74455,75794,68640,72594,85346,91637,81692,66828
Merchandise Mart,171926,175491,193704,181713,182555,203974,183924,205694,187854,196527,179475,156382
Midway Airport,196304,199952,233026,226078,242868,248901,251745,251735,255154,262775,239111,203996
Monroe/Dearborn,168605,183047,203428,193310,190347,200137,200242,206547,199473,209895,196549,172660
Monroe/State,259915,275305,296960,289121,286983,302003,303799,304595,290597,306393,283060,254775
Montrose-Brown,69129,70155,76267,72721,74693,76680,72484,75622,74964,78892,72805,65681
Montrose-O'Hare,56167,58381,65127,59189,41599,53347,69315,70716,70508,72572,68924,59307
Morgan-Lake,65720,63956,71329,69786,73204,83656,77954,78348,74454,76919,70491,63211
Morse,126984,128759,137448,133590,134824,138304,132864,135346,137775,139176,131946,119262
North/Clybourn,173304,167662,181942,179473,185888,187410,178315,178442,178307,187663,171473,158393
Noyes,21994,22739,22480,23769,24226,23046,23981,21461,23525,27706,25512,17003
O'Hare Airport,277901,259924,313081,318382,365908,364934,375624,368114,355144,373614,332466,292943
Oak Park-Forest Park,40804,42463,46453,46818,46791,49042,46841,49210,48723,49632,47200,39447
Oak Park-Lake,35547,36498,40820,33962,35920,44527,43371,43474,41504,42329,39333,34858
Oakton-Skokie,18163,19798,22130,21476,21773,23982,24344,25297,26493,27090,25616,20338
Paulina,68279,68401,76310,71625,73289,77043,72141,74715,72584,77207,70439,63504
Polk,76281,78654,81491,74600,73850,80692,75477,83540,83528,83534,77475,59439
Pulaski-Cermak,30190,30591,31601,29338,31087,31312,31012,31081,32038,32243,30651,27870
Pulaski-Forest Park,50458,51441,56301,51351,50416,52263,53043,55046,53992,53295,49657,45946
Pulaski-Lake,39408,38213,41842,38825,41368,41185,39402,39278,39879,41863,41070,38002
Pulaski-Orange,117035,123608,137514,128466,134902,137218,130681,131443,144068,143885,135490,114796
Quincy/Wells,175198,177656,198976,184956,189067,201272,190152,207230,187694,191821,176946,157105
Racine,56898,57656,67380,54609,60591,59595,44261,49155,58709,61883,55297,48120
Randolph/Wabash,220591,221872,255472,241705,257512,254419,284860,270429,247859,261915,258399,231496
Ridgeland,29457,30210,33321,29374,30352,35296,34860,34858,34162,35170,33639,29245
Rockwell,44824,45432,50681,47500,49047,51059,48156,50751,49197,51514,47476,43002
Roosevelt,271732,284436,309990,308949,318319,341175,361811,333534,325355,352099,320064,278883
Rosemont,141914,144184,164911,162891,179602,191826,193083,187455,181386,191148,176347,147955
Sedgwick,93361,93341,104612,100187,108577,122643,112818,115977,106216,115003,97256,84228
Sheridan,144184,146223,157129,154595,157543,165173,156365,157241,161206,181544,155162,126115
South Boulevard,18900,19027,20984,20327,20827,22069,21348,21391,21025,21435,20128,17468
Southport,84988,84145,93057,90103,92821,99131,96295,97766,100838,109624,96536,80896
Sox-35th-Dan Ryan,113909,118079,128961,141608,164366,159730,163795,151925,159876,138598,121167,99054
State/Lake,224840,236252,269581,260382,265108,253795,282749,269054,281477,300459,275210,227894
Thorndale,83397,84353,90812,84381,87945,86226,79965,80207,88131,93496,85170,77966
UIC-Halsted,138126,170623,164142,169558,96639,94936,92950,133019,195648,200754,179153,90009
Washington/Dearborn,275435,286103,324653,303147,313541,339418,329617,335718,317019,335944,330452,313908
Washington/Wells,174297,182439,197806,184438,188260,220147,185842,215918,199231,201090,189905,162608
Wellington,74532,75006,79542,76656,78061,84218,76459,80620,83191,87807,78665,67160
Western-Brown,101952,102172,112733,108431,111254,116358,111791,114352,114140,117407,107019,98701
Western-Cermak,29062,29743,31381,29237,31991,32274,30883,30918,32246,32977,31675,27803
Western-Forest Park,42462,43381,47073,42933,46112,44882,42247,42323,49571,50103,44968,38160
Western-Orange,90205,92706,103472,98994,102398,105661,101475,103733,105784,107880,100866,88989
Western/Milwaukee,128087,130307,143556,135172,137150,141215,134584,139469,138436,143997,134033,121032
Wilson,146286,154431,165134,163418,158240,161806,151803,148775,167191,167687,156548,130529
