stationame,1,2,3,4,5,6,7,8,9,10,11,12
18th,46937,48592,53150,49230,53193,55314,51916,51504,53657,57029,50206,42987
35-Bronzeville-IIT,46246,48582,50802,49316,46756,46254,46453,48353,55974,55499,49688,36205
35th/Archer,72756,77541,85958,82980,84890,84871,80998,83149,87731,89009,83563,71010
43rd,26151,26168,28258,26313,28594,29016,28917,30370,29097,29734,27136,23745
47th-Dan Ryan,81853,82189,90425,86137,91301,88804,89895,88842,90233,92876,86238,76412
47th-South Elevated,32884,32955,35208,32186,33602,33118,33495,34235,33130,33261,31454,28651
51st,26069,25989,28700,27177,28292,29061,29238,28476,28087,28739,25983,23564
54th/Cermak,51595,51860,55729,53049,56123,59727,59602,59734,59789,59784,59135,51339
63rd-Dan Ryan,77368,82067,91102,85833,92610,90294,85942,86898,94919,94946,87449,78192
69th,142458,140608,151438,145115,152053,151638,151395,149865,151756,158686,149318,135771
79th,191070,187756,200891,189557,200772,201117,198741,200006,199811,209526,198387,185562
87th,109995,110297,119969,113765,121632,121486,119419,120747,120592,125049,116923,108699
95th/Dan Ryan,279606,280838,301901,282275,298656,295367,285277,292886,298698,303741,287314,262169
Adams/Wabash,201570,217649,242907,243305,241033,228445,275953,231972,236796,263750,235812,189188
Addison-Brown,60486,61114,69444,63424,66586,67459,59281,61756,68844,71649,64976,56540
Addison-North Main,172097,170931,196884,261882,318552,322915,333390,357599,302838,342111,234270,148648
Addison-O'Hare,69468,70479,59965,52735,74388,71054,81181,78886,81396,83101,76124,65994
Argyle,84171,84469,89907,87663,89377,91034,90190,90577,92049,93935,87267,78902
Armitage,108055,108390,119657,109751,117538,118712,106349,107534,115110,125798,108719,97007
Ashland-Lake,57351,56947,65914,61087,62123,62969,73473,62564,72982,68045,61947,54045
Ashland-Orange,38008,39663,44391,42583,44554,46097,42756,44005,45401,47055,43822,38251
Ashland/63rd,31891,30674,32838,30237,32124,32447,32667,32362,30511,32024,31030,27891
Austin-Forest Park,46387,48648,52719,52467,52828,54431,52213,55533,56784,56583,53212,44788
Austin-Lake,48064,47718,53575,42223,44336,53635,52393,53884,52495,54262,50433,45088
Belmont-North Main,335134,331005,363682,356681,369825,389889,364603,362552,358375,419433,355052,288025
Belmont-O'Hare,137108,141365,159850,152042,150149,157293,150303,155611,152852,156900,148750,135429
Berwyn,91004,92369,96520,95844,97202,102713,97900,99041,99419,104250,96069,86930
Bryn Mawr,124590,124895,133284,131280,134409,140729,135844,134391,132778,137980,128773,116509
California-Cermak,37797,37779,41236,38927,40434,42281,41371,42145,57620,42072,39454,34618
California-Lake,26653,26038,29185,27007,29318,30477,29991,30402,30499,30221,25980,24196
California/Milwaukee,126269,127980,143197,135693,137912,143608,140354,141842,142612,148463,139381,126315
Central Park,31931,32114,33607,30327,31838,32551,32735,32641,33377,33596,31490,27880
Central-Evanston,18522,18288,20030,19386,20598,23745,23027,22919,28491,24755,24383,18289
Central-Lake,55626,54572,59169,45012,47189,55838,55424,55569,56051,57862,54835,50554
Cermak-Chinatown,106076,116495,132406,124600,136182,130511,142898,133917,142186,151622,129360,102997
Cermak-McCormick Place,27315,33846,39122,36811,37837,39568,41356,37642,41394,48777,40328,28027
Chicago/Franklin,161396,160826,173052,164237,163605,171308,162834,174275,169377,179444,160641,140441
Chicago/Milwaukee,105188,107512,117366,108333,111631,111930,106295,108082,108918,113447,103963,95052
Chicago/State,381507,391570,429989,430493,433624,460749,477189,470122,455240,478243,451957,402091
Cicero-Cermak,32531,32991,35147,33314,36296,38031,37889,37569,36654,37687,36063,31783
Cicero-Forest Park,36276,36490,39772,37707,39667,39661,38509,40545,40702,43126,43971,42292
Cicero-Lake,36055,35842,39088,35410,37755,38087,36314,36351,37065,37890,35261,32915
Clark/Division,211492,211847,231791,225570,238029,248106,237716,235759,233332,254072,221607,198272
Clark/Lake,441731,457593,527312,489155,505303,536293,510492,538887,508022,526287,498800,432791
Clinton-Forest Park,93212,96261,107858,99542,99531,101430,97342,102567,100025,104341,99828,89292
Clinton-Lake,95595,97086,106125,99945,100303,106770,100932,106609,103338,106823,98907,86648
Conservatory,24127,23805,26753,24719,28115,25508,25946,25238,27270,26778,24532,21665
Cumberland,101470,104031,118568,114541,120377,131029,131166,130222,130198,127153,107295,99261
Damen-Brown,69649,70755,78956,72565,76739,78647,72381,75329,78123,81367,74955,67783
Damen-Cermak,36401,37969,41031,38939,40897,40060,40035,40566,44064,45218,42374,37192
Damen/Milwaukee,171503,171628,196383,183506,190470,201031,203022,192661,186026,195984,175803,158361
Davis,93948,95040,100942,100220,103241,105891,105243,103679,102546,108464,100565,82791
Dempster,22325,22016,23332,22954,23703,25224,25735,24457,24719,26177,23840,20744
Dempster-Skokie,39312,40747,45637,46901,52542,55804,57959,59658,57138,59028,51653,41881
Diversey,138374,138919,151611,147670,149263,158879,147898,153000,149414,158714,141403,121715
Division/Milwaukee,153835,156232,171860,160086,163331,165528,160040,161212,165314,172226,157266,142400
East 63rd-Cottage Grove,30337,29959,31535,29974,31626,32029,32082,31634,32258,32801,30658,27594
Forest Park,81621,83259,92594,91418,93271,97361,93790,98282,97699,99445,93206,79521
Foster,22486,23772,23095,25514,26352,26539,25236,23860,24242,28443,25355,15750
Francisco,37590,37717,41978,39966,42774,44249,42532,44343,44265,45570,42575,38293
Fullerton,358674,361113,361740,379206,386031,321316,287056,279919,390934,426137,338130,208503
